,string,count,group
507,United Way Centraide Canada,82,united way centraide canada
508,"Amazon Corporate, LLC",82,amazon
509,Startup Canada,82,startup canada
510,CONSEIL QUÉBÉCOIS DES ENTREPRISES ADAPTÉES (CQEA),81,conseil quebecois des entreprises adaptees (cqea)
511,Canadian Association of Radiologists,81,canadian association of radiologists
512,Investment Industry Association of Canada,81,investment industry association of canada
513,Council of Ontario Universities,81,council of ontario universities
514,Canadian Coalition for Firearm Rights,81,canadian coalition for firearm rights
515,MV1 Canada,81,mv1 canada
516,Xerox Canada Ltd.,80,xerox canada ltd.
517,"Canadian Tire Corporation, Limited",80,canadian tire corporation
518,Foundation for Environmental Stewardship,80,foundation for environmental stewardship
519,Canadian Federal Pilots Association,80,canadian federal pilots association
520,Canadian Counselling and Psychotherapy Association,80,canadian counselling and psychotherapy association
521,Interac Association,80,interac corp.
522,Dow Chemical Canada ULC,80,dow chemical canada ulc
523,Syncrude Canada Ltd.,79,syncrude canada ltd.
524,Mackenzie Valley Aboriginal Pipeline LP,79,mackenzie valley aboriginal pipeline lp
525,Canadian Federation of Humane Societies (also known as Humane Canada),79,canadian federation of humane societies (also known as humane canada)
526,AbbVie Corporation,79,abbvie
527,MakeWay Charitable Society,79,makeway charitable society
528,ChargePoint,79,chargepoint
529,Community Foundations of Canada,79,community foundations of canada
530,Manitoba Telecom Services Inc.,78,manitoba telecom services inc.
531,Canadian Solar Industries Association,77,canadian solar industries association
532,Servus Credit Union,77,servus credit union
533,Canadian Association of Retired Persons,77,canadian association of retired persons
534,SecureKey Technologies Inc.,77,securekey technologies inc
535,Honda Canada Inc.,76,honda canada inc.
536,CANADA'S VENTURE CAPITAL AND PRIVATE EQUITY ASSOCIATION,76,canada's venture capital and private equity association
537,Canadian Private Copying Collective,76,canadian private copying collective
538,Canadian Physiotherapy Association,76,canadian physiotherapy association
539,Association of Consulting Engineering Companies - Canada,76,association of consulting engineering companies - canada
540,CHC Helicopters,76,chc helicopters
541,Tilray Inc.,76,tilray
542,"THE CORPORATION OF THE COUNCIL OF MINISTERS OF EDUCATION, CANADA",75,"corporation of the council of ministers of education, canada (the)"
543,The Pollution Probe Foundation,75,pollution probe foundation
544,Watershed Watch Salmon Society,75,watershed watch salmon society
545,Methanex Corporation,75,methanex corporation
546,Canadian Owners and Pilots Association,75,canadian owners and pilots association
547,Festivals and Major Events (FAME) Canada,75,festivals and major events (fame)
548,Sidewalk Labs LLC,75,sidewalk labs llc
549,COM DEV International,75,com dev ltd.
550,Canada Grains Council,75,canada grains council
551,WaterPower Canada,75,waterpower canada
552,Innergex Renewable Energy Inc.,75,innergex renewable energy inc.
553,WESTERN GRAIN ELEVATOR ASSOCIATION,74,western grain elevator association
554,"University of Ontario Institute of Technology
(operating as Ontario Tech University)",74,university of ontario institute of technology
555,Direct Sellers Association of Canada,74,direct sellers association
556,Ontario College of Art & Design University,74,ontario college of art & design university
557,"IATSE (International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada)",74,iatse - international alliance of theatrical stage employees
558,Canadian Association of Chiefs of Police,74,canadian association of chiefs of police
559,First West Credit Union,73,first west credit union
560,Canada Kuwait Petrochemical Corporation,73,canada kuwait petrochemical corporation
561,National Smokeless Tobacco Company Ltd.,73,national smokeless tobacco company
562,Canadian Society for Medical Laboratory Science,72,canadian society for medical laboratory science
563,Canadian Cable Systems Alliance,72,canadian cable systems alliance
564,Canadian Western Bank,72,canadian western bank
565,The Writers' Union of Canada,72,the writers' union of canada
566,Interac Corp.,72,interac corp.
567,Nisga'a Nation,72,nisga'a nation
568,Hyundai Auto Canada,72,hyundai auto canada
569,The College of Family Physicians of Canada,72,the college of family physicians of canada
570,Citizens for Public Justice,72,citizens for public justice
571,Zayo Canada Inc.,72,zayo canada inc
572,Kia Canada Inc.,71,kia canada inc.
573,L3 Technologies MAS Inc,71,l3 technologies canada inc.
574,Emergent BioSolutions Canada Inc.,71,emergent biosolutions canada inc.
575,Ronald McDonald House Charities Canada,71,ronald mcdonald house charities
576,Toyota Canada Incorporated,71,toyota canada inc.
577,Mercedes-Benz Canada Inc.,71,mercedes-benz canada inc.
578,The Investment Funds Institute of Canada,71,investment funds institute of canada
579,BMW Canada Inc.,71,bmw canada inc.
580,Nunavut Resources Corporation,71,nunavut resources corporation
581,United Food and Commercial Workers International Union (UFCW Canada),71,united food and commercial workers international union (ufcw canada)
582,Canadian LNG Alliance,71,canadian lng alliance
583,eBay Canada,71,ebay
584,Vancouver Island University,70,vancouver island university
585,Actua,70,actua
586,Teck Coal Limited,70,teck resources limited
587,West Coast Environmental Law Association,70,west coast environmental law association
588,Valero Energy Inc.,70,valero energy
589,International Centre for Infectious Diseases,70,international centre for infectious diseases
590,Amalgamated Transit Union - Canada,70,amalgamated transit union - canada
591,Canadian Bureau for International Education,70,canadian bureau for international education
592,Pembina Pipeline Corporation,69,pembina pipeline corporation
593,ALUS Canada,69,alus canada
594,Association of Canadian Port Authorities (ACPA),69,association of canadian port authorities
595,Dairy Farmers of Prince Edward Island,69,dairy farmers of prince edward island
596,Canadian Coalition for Health Freedom,69,canadian coalition for health freedom
597,International Boreal Conservation Campaign,69,international boreal conservation campaign
598,Canadian Co-operative Association,69,canadian co-operative association
599,ONE Global (Canada),69,one global (canada)
600,Brock University,69,brock university
601,International Fund for Animal Welfare (IFAW),69,international fund for animal welfare (ifaw)
602,The Motion Picture Association – Canada,68,the motion picture association - canada
603,eBay,68,ebay
604,Open Media Engagement Network,68,open media engagement network
605,Recreation Vehicle Dealers Association of Canada,68,recreation vehicle dealers association of canada
606,FRANKLIN TEMPLETON INVESTMENTS CORP.,68,franklin templeton investment corp.
607,Canadian Psychiatric Association,68,canadian psychiatric association
608,CSMG Inc. dba Babcock Canada,67,csmg inc. dba babcock canada
609,Montreal Pride,67,montreal pride
610,Global Poverty Project Canada (Global Citizen),67,global poverty project canada (global citizen)
611,Syngenta Canada Inc.,67,syngenta canada
612,BWXT Canada Ltd.,67,bwxt canada ltd.
613,Carcross/Tagish First Nation,67,carcross/tagish first nation
614,Goldcorp Inc,66,goldcorp inc
615,Option consommateurs,66,option consommateurs
616,L3 Technologies Canada Inc.,66,l3 technologies canada inc.
617,Canadian Cancer Trials Group,66,canadian cancer trials group
618,Children First Canada,66,children first canada
619,Languages Canada,66,languages canada
620,McKesson Canada,65,mckesson canada
621,Astral Media inc.,65,astral media inc.
622,BC Lumber Trade Council,65,bc lumber trade council
623,MMV Medicines for Malaria Venture,65,mmv medicines for malaria venture
624,"Society of Composers, Authors & Music Publishers of Canada / Société canadienne des auteurs, compositeurs et éditeurs de musique (SOCAN)",65,"society of composers, authors & music publishers of canada / societe canadienne des auteurs, compositeurs et editeurs de musique (socan)"
625,MMG Limited,65,mmg limited
626,Big Brothers Big Sisters of Canada,65,big brothers big sisters of canada
627,Resolute Forest Products,65,resolute forest products
628,WE Charity,65,we charity
629,Raytheon Canada Limited,64,raytheon integrated defense systems
630,Maritime Fisheries Union,64,maritime fisheries union
631,Indspire,64,indspire
632,"Amazon.com, Inc.",64,amazon
633,OMERS Administration Corporation,64,omers
634,"Boeing Operations International, Incorporated",63,boeing
635,Canadian Wheat Board,63,canadian wheat board
636,Terra International (Canada) Inc.,63,terra international (canada) inc.
637,AIR LINE PILOTS ASSOCIATION INTERNATIONAL,63,air line pilots association international
638,MININGWATCH CANADA,63,miningwatch canada
639,Directors Guild of Canada,63,directors guild of canada
640,Northstar Earth & Space Inc.,63,northstar earth & space inc.
641,Precision Biomonitoring Inc.,63,precision biomonitoring inc.
642,Bioniche Life Sciences Inc.,63,bioniche life sciences inc.
643,"Society of Composers, Authors & Music Publishers of Canada (SOCAN)",63,"society of composers, authors & music publishers of canada (socan)"
644,Canadian American Business Council,63,canadian american business council
645,ZYUS Life Sciences Inc.,63,zyus life sciences inc.
646,Canadian Hatching Egg Producers,63,canadian hatching egg producers
647,The Association of Canadian Disability Benefit Professionals,63,the association of canadian disability benefit professionals
648,Scandinavian Tobacco Group Canada Inc.,62,scandinavian tobacco group canada
649,Cougar Helicopters Inc.,62,cougar helicopters inc.
650,CHRA Canadian Housing and Renewal Association,62,canadian housing and renewal association (chra)
651,Greenfield Global Inc.,62,greenfield global inc
652,Assembly of Treaty Chiefs (Alberta),62,assembly of treaty chiefs (alberta)
653,Vale Canada Ltd.,62,vale
654,Canadian Boreal Initiative,62,canadian boreal initiative
655,The Ontario Flue-Cured Tobacco Growers' Marketing Board,62,ontario flue-cured tobacco growers' marketing board
656,National Coalition Against Contraband Tobacco,62,national coalition against contraband tobacco
657,Seabridge Gold Inc.,62,seabridge gold
658,Council of Forest Industries,62,council of forest industries
659,Canadore College,61,canadore college
660,Woodfibre LNG,61,woodfibre lng
661,Hewlett Packard Enterprise Canada Co.,60,hp inc.
662,Nature United,60,nature united
663,Environmental Defence Action Fund,60,environmental defence canada
664,TC Energy,60,tc energy
665,Canadian Worker Co-operative Federation,60,canadian worker co-op federation
666,MaRS Discovery District,60,mars discovery district
667,AUTO21 Inc.,60,auto21 inc.
668,Air Products Chemicals Inc.,60,air products chemicals
669,CATAAlliance,60,cataalliance
670,MONTREAL HIGH LIGHTS Festival,60,montreal high lights festival
671,Gazoduq inc.,59,gazoduq inc.
672,PURDUE PHARMA,59,purdue pharma
673,Jazz Aviation LP,59,jazz air lp
674,Canwest Global Communications Corp.,59,canwest global communications corp.
